date,title,venue,city,description
Wed Apr 10,The Airborne Toxic Event,Bowery Ballroom ,New York,Tickets on sale Fri 10/04 at 12pm EST
Sat Nov 30,Kidz Con,Metropolitan West ,New York,Kidz Con displays the best in children’s fashion toys sweets and lifestyle brands. More than 50 brands from around the world to shop from including GIVEAWAYS! Kidz Con LA was such a huge success! It was only right to bring it to NY! We had over 5000 attendees with companies like Nickelodeon Puma Care BearsFun Box and more! . A portion of the proceeds will benefit Children’s Hospital of Los Angeles and our theme for NY will be Winter Wonderland! This winter we are planning a fun filled weekend full of Vendors and fun interactive photo ops at the Metropolitan West.It’s a one stop shop to grab all of your holiday gifts with an eventful experience.Food Trucks will be available ! Child (Ages 3-12)Adult ( Ages 12+ and up )www.kidz-con.com @KidzconParking Panda and SpotHero are parking availability and reservation apps that may assist you.
Fri Dec 6,TRAP Karaoke: New York,SOB's ,New York,not available
Tue Dec 31,Golden Era: New Year's Eve 2020,99 Scott Studio ,New York,not available
Sun Aug 18,David Gray | White Ladder: The 20th Anniversary Tour,Prospect Park Bandshell - RAIN OR SHINE ,New York,Singer-songwriter David Gray celebrates the 20th anniversary of his breakthrough album White Ladder in 2020 with a worldwide tour—including a stop at the BRIC Celebrate Brooklyn! Festival. Featuring hit singles “Babylon” “Please Forgive Me” and “Sail Away” White Ladder has sold more than 7 million copies worldwide and is one of the top 30 best-selling British albums of all time.
Wed Nov 27,LA TERRAZA THANKSGIVING EVE LATIN PARTY WEDNESDAY NIGHT,La Terraza Rooftop C ,New York,not available
Tue Jan 29,Ali Gatie,Bowery Ballroom ,New York,Tickets on sale Fri 11/15 at 10am ESTDay 1 Fan Presale: Tues 11/12 at 10am - Thurs 11/14 at 10pm ESTCiti® Cardmember Presale: Weds 11/13 at 10am - Thurs 11/14 at 10pm ESTPromo Code: Enter the first 6 digits of your Citi card.
Sat Nov 30,Sagittarius Affair at Ravel Penthouse 808 Everyone FREE (Gametight),Penthouse808  Queens ,New York,not available
Sat Dec 14,Mount Eerie Julie Doiron,St. Ann & the Holy Trinity Church ,New York,not available
Fri Nov 29,BACCHANAL IN BLACK ft PRIVATE RYAN x FRIENDS,Socceroof ,New York,not available
Fri Dec 6,29Rooms New York - December 62019,25 Kent ,New York,The Expand Your Reality Tour is the latest 29Rooms experience from Refinery29 - a space where you're encouraged to step into the art wear the art touch the art and connect with others (and yourself) in the process.  Created in collaboration with innovative talent visionary artists and your favorite brands 29Rooms pairs the joy and play of exploration with the pulse of current events and culture. SESSION TIMES:Open daily beginning at 10:30AM on weekends and 1:30PM on weekdays*Your 29Rooms GA ticket gives you 2.5 hours to explore our creative world a.k.a. plenty of time to fully immerse yourself and let your imagination run wild. But be sure to check the session start time on your ticket as you will only be granted entry at that specific time.IMPORTANT INFORMATION:In order to get the most out of your 29Rooms visit we recommend arriving 15 minutes before your session’s start time to ensure a quick and easy check-in. (So if your start time is 5:30 PM try getting to the venue by 5:15 PM!)29Rooms TICKET POLICY:There are no ticket refunds or exchanges. All sales are final. Event is rain or shine.Children 2 & under are admitted FREETickets are only valid for the date and session on your ticket. Sessions are valid for 2.5 hours after the designated start time.If you can’t find your PDF or Mobile ticket please visit the Tickets section of your Eventbrite account.In the event that the purchaser cannot use ticket tickets are transferable (i.e. purchaser can give their ticket to a friend for use). Entry is based on ticket barcode (not name of purchaser).Each ticket will be scanned and is only good for ONE single-person entry. There is no re-entry.Need Help?Head to www.29Rooms.com for more information including our Frequently Asked Questions.Follow us on social @29Rooms for all updates and announcements. And feel free to DM us with any comments questions or cute dog memes.Still have a question that hasn't been addressed or want to find out how you can be more involved with 29Rooms? Email us at info@29Rooms.com.
Sat Nov 30,Jardin De Reggaeton Rooftop Party,The DL ,New York,not available
Fri Dec 13,Holy Mountain: Witches Sabbath,Avant Gardner ,New York,"Hail to the guardians of the Holy Mountain....we summon thee on this darkest night of nights as we gather our coven for a beauty pageant like no other...come & claim your crown!HOLY MOUNTAIN: WITCHES SABBATH!!!!!Those who suffer from paraskavedekatriaphobia need not fear any longer. We're here to make this FRIDAY THE 13th worth the sacrifice...		  ✡ ♁ ✙ ♆ HOLY MOUNTAIN: WITCHES SABBATH ☥ ☓ ☩ ☯	 ✞ ✝ ☥  ☩ ☯ ✞ FRIDAY DECEMBER 13th ✞ ✝ ☥ ☓ ☩ ☯ ✞ ✝ Performing live BROOKE CANDY!!!!!!!!!!!!!!!Celebrating the release of her SEXORCISM album!WITCHY BEATS BY:A Village RaidDicapGreg K.Jason KendigKevin SaundersonMazurbateMichael MagnanNita AvianceSkinPLUS MORE TO BE ANNOUNCED SOON!-------------------------------------------------------* Early Arrival Pre 11PM tickets must arrive before 11pm or pay full door difference ----------------------------------------------------Poster: Scott EwaltPlease be advised that events at Avant Gardner are subject to contain flashing lights and strobe effects which may affect individuals who are susceptible to photosensitive epilepsy or other photosensitivity."
Sat Feb 9,deadmau5 / CUBE V3-2020 Tour (Sunday),Great Hall - Avant Gardner ,New York,February 9 2020Live Nation and Avant Gardner Presents: deadmau5 - CUBE V37pm doors / 8pm show VIP PACKAGES:deadmau5 On Stage Experience :-One Premium Reserved or General Admission ticket to the show-One (1) Meet & Greet with deadmau5*-One (1) Individual photo with deadmau5*-The ability to watch the first 3 songs of deadmau5’s set side-stage*-Exclusive access to special VIP pre-show production tour (see the new cube up close and personal)*-One commemorative VIP laminate-One exclusive merchandise item-Priority entry into the venue*deadmau5 VIP Meet & Greet Experience:-One Premium Reserved or General Admission ticket to the show-One (1) Meet & Greet with deadmau5*-One (1) Individual photo with deadmau5*-Exclusive access to special VIP pre-show production tour (see the new cube up close and personal)*-One commemorative VIP laminate-One exclusive merchandise item-Priority entry into the venue*deadmau5 VIP Cube Tour Experience:-One Premium Reserved or General Admission ticket to the show-Exclusive access to pre-show production tour*-One commemorative VIP laminate-One exclusive merchandise item-Priority entry into the venue**no liquids permitted side stage (alcohol soda etc)*side stage locations will operate in a different format from city to city depending on local venue capabilities *production tour done in groups of 10*meet & greet and photo opportunity may occur after general doors have opened
Fri Nov 29,#TheRnBParty,Stage 48 ,New York,#TheRnBParty is back Black Friday @ Stage 48 Hosted by ChristylezzMusic by First Choice True Blends & Yo ShowtimeRSVP DOES NOT GUARANTEE ADMISSIONCOVER CHARGE TO BE COLLECTED AT THE DOOR WITH OR WITHOUT RSVP EARLY ARRIVAL STRONGLY SUGGESTEDMUST BE 21+ TO ATTEND
Sat Feb 23,Tunnel Reunion Party featuring: Megan Thee Stallion & Funk Flex,Great Hall - Avant Gardner ,New York,not available
Sat Nov 30,Lil Rick Returns to NYC - Barbados Independence,The Black Lady ,New York,not available
Wed Nov 27,Baile De Favela Thanksgiving Eve Party,(Le) Poisson Rouge ,New York,not available
Sun Dec 22,Yo La Tengo,Bowery Ballroom ,New York,Tickets on sale Fri 9/06 at 12pm EST
Fri Dec 6,Yotto,Great Hall - Avant Gardner ,New York,Finnish producer Yotto makes one more stop in New York City following an appearance at Electric Zoo Festival with his 'Odd One Out Tour' at Avant Gardner on December 6th.Limited tables available: reservations@avant-gardner.com19+
Sun Dec 1,Winter on a Flatbush Farm,Lefferts Historic House ,New York,not available
Tue Dec 31,New Year's Eve Fireworks in Prospect Park,Grand Army Plaza ,New York,not available
Sat Nov 30,Bollywood Beats @ Stage48 NYC - A Weekly Saturday Night DesiParty,Stage48 ,New York,not available
Tue Dec 3,Moving the Market: SASB 2019 Symposium,Fordham School of Law ,New York,not available
Sat Dec 14,Chris Fleming,Murmrr Theatre ,New York,"	Chris Fleming was named one of Variety’s Ten Comics to Watch for 2019. He has amassed over 50 million views on his Youtube channel and has appeared in Comedy Central’s CORPORATE Splitting Up Together Netflix’s Last Laugh and Twelve Forever. The Huffington Post has called him “perhaps one of the best things on the internet.” Of his live show Chortle says ""you can’t take your eyes off this unpredictable exciting performer."" Splitsider says ""a madman and I think genius."" According to Vulture ""equal parts imagination and inferiority complex a combination that has led him to create some of the most bizarrely funny performance art taking place online and onstage today."" 	"
Sat Dec 7,Valentino Khan,Kings Hall - Avant Gardner ,New York,not available
Sat Nov 30,I AM SOCA - Flashback,Socadrome ,New York,"	Thanksgiving Saturday Night - Nov 30 2019NYC Its BackI AM SOCA ""Flashback""A retro Soca fete with a hint of new flavorStarring DJ PRIVATE RYANSupporting Cast: Elegance Sounds • Eternal Vibes • Sounds 4 Life • Platinum SoundsHosted By: Giselle ""The Wassi One"" & Jason BennDoors Open 8pm • 21 + ID RequiredGeneral & VIP Admission Tickets On Sale. Secure Yours NOW!!!For Event Info & More Follow Us On Facebook & Instagram @IAmSocaEventOr Visit www.IAmSocaEvent.comFor Bday Packages Email: IAmSocaEvent@gmail.comRecommended Dress Code: 80's 90's & Early 2000's Fashion. Feel free to be creative!	"
Sat Nov 30,Saturday Night Dance Party,Amadeus Nightclub  Queens ,New York,not available
Sat Nov 30,NOIR All Black Affair w/ FREE Drinks @ Katra Lounge,Katra Lounge  Manhattan ,New York,not available
Thu Dec 5,TRAP Karaoke: R&B Live (New York),SOB's ,New York,not available
Wed Nov 27,LATIN PARTY WEDNESDAY NIGHT |NEW YORK CITY VIBES,La Terraza Rooftop C ,New York,not available
Sun Dec 15,DREAMCATCHER,White Eagle Hall,Jersey City,"	DREAMCATCHER will finally be hitting up the United States for their first tour DREAMCATCHER Concert Invitation from Nightmare City! Get ready to day dream with the girls in Los Angeles Chicago Dallas Orlando and Jersey City!DREAMCATCHER debuted on January 13 2017 with members: JiU SuA Siyeon Handong Yoohyeon Dami and Gahyeon.This septet has made a name for themselves in 2017 with their unique sound which incorporates influences of rock and metal music that revolves around a horror concept. Their debut song ""Chase Me"" was ranked No. 19 on Billboard's Best K-Pop Songs of 2017: Critics' Picks. Subsequently DREAMCATCHER was listed No. 3 on Billboard's Best New K-Pop Acts in 2017. InSomnia get ready to see your favorite girls this December!✨VVIP - $169 ✨• Signed Poster• Hi Touch• Group Photo• Early Entry• No Line Rule• Concert Admission✨VIP - $129 ✨• Hi Touch• Group Photo• Enter after VVIP• Concert Admission✨Tier 3 - $79 ✨• Concert Admission after VIP✨Tier 4 - $49 ✨• Concert Admission*Handong will not be participating in this tour*Please follow Studio PAV Facebook page for updates regarding the concert schedule. Meet and greet time schedule is subject to be announced and can be pre-show. facebook.com/studiopavmnc	"
Wed Nov 27,WILLIAMSBURG HOTEL - Thanksgiving Eve! Music by DJ Reach Avante & J-Wavy!,The Williamsburg Hotel ,New York,"	Slick Parties Presents.....✨Thanksgiving Eve 2019 at The Williamsburg Hotel - November 27th✨ 🦃Buy Tickets to Enter!! Doors Open 9:00pm 21+ to enter with valid I.D.Tickets will go fast! Click the green tickets button above now before they're sold out!The Williamsburg Hotel96 Wythe AvenueBrooklyn NY 11249💫 Looking to book bottle service? 🍾🥂 Contact us at info@slickparties.com to get a custom table service quote for your party! Please include the number of guys/girls in your party and the date & club you're interested in.  Don't feel like partying in Manhattan? No problem! Celebrate one of the ""Biggest party nights of the year""  at one of the sexiest and  sleekest spots in Brooklyn! Acclaimed as an establishment that provides ""supreme service  with a Brooklyn twist""  offering luxury and fun in a super trendy neighborhood. NO REFUNDS	"
Tue Dec 31,The Surrealist Ball: New Year's Eve,House of Yes ,New York,not available
Thu Mar 21,The 116th Explorers Club Annual Dinner - ECAD 2020,Marriott Marquis Times Square ,New York,The Explorers Club invites our members and their guests to an evening celebrating our 2020 awardees and the lifetime achievements of the world’s most renowned environmental conservationists at the 116th Explorers Club Annual Dinner on March 21st 2020 in New York City.This once-in-a lifetime gathering will include a keynote by honoree Dr. Jane Goodall DBE founder of the Jane Goodall Institute and UN Messenger of Peace and a special appearance by honoree songwriter and conservationist Paul Simon.Through November 30th The Explorers Club will honor last year’s ticket and table pricing. Prices will increase on December 1st. Due to the historical surge in ticket demand tickets are only open to Explorers Club members and their guests. The Explorers Club advises its members to register as early as possible.
Sat Dec 7,Pizza Zoo Santacon!,Stage 48 ,New York,Merry Christmas ya filthy animals! Join us for the last Pizza Zoo of 2019! We're capping off the year with Pizza-Con so that means Santa suits Mrs. Claus Elves Reindeers & Ugly sweaters are all welcomed but of course not mandatory.Ages 21+ to attendNo Dress CodeAll ticket sales are final. No refunds.
Fri Jan 25,Mat Kearney,Concert Hall @  Society For Ethical Culture ,New York,VIP tickets can be bought HERETo celebrate the 10th anniversary of his breakout album City of Black & White Mat Kearney decided to revisit some of his favorite songs off of the record and re-record them with a new perspective. Similarly the City of Black & White Revisited Tour will feature Kearney's extensive award-winning catalog in a rare intimate acoustic performance.
Wed Nov 27,**THANKSGIVING EVE AT HOTEL CHANTELLE!** BIGGEST PARTY NIGHT OF THE YEAR!,Hotel Chantelle ,New York,Slick Parties Presents.....✨Thanksgiving Eve 2019 @ Hotel Chantelle - Nov. 27✨Buy Tickets to Enter!! Doors Open 10:00pm 21+ to enter with valid I.D.Tickets will go fast! Click the green tickets button above now before they're sold out!Hotel Chantelle92 Ludlow StreetNew York NY 10002Located on the Lower East Side of NYC Hotel Chantelle is a multi-level nightclub with amble space including a rootop bar. Vintage glamour meets modern flare in each unique room. Hotel Chantelle will be sure to give you a Thanksgiving Eve celebration to remember!💫 Looking to book bottle service? 🍾🥂 Contact us at info@slickparties.com to get a custom table service quote for your party! Please include the number of guys/girls in your party and the date & club you're interested in.  NO REFUNDS
Fri Dec 6,Glitterbox NYC,House of Yes ,New York,not available
Mon Dec 16,11th Annual Latke Festival,The Brooklyn Museum ,New York,not available
Mon Apr 1,Tindersticks,Murmrr Theatre ,New York,Due to overwhelming demand Tindersticks have announced an additional show at Murmrr Theatre on Thursday April 2nd.  Tickets for that show can be purchased HERE.
Wed Dec 11,TopSpin New York 2019,Metropolitan Pavilion ,New York,not available
Thu Jan 17,Slander (Early Show),Great Hall - Avant Gardner ,New York,SECOND SHOW ADDED!SLANDER follows up their Electric Zoo 2019 appearance on January 17th as they bring 'The Eye' tour with Dylan Matthew.18+---Visiting Brooklyn for the big event? Here’s a bevy of accommodation options for a comfy stay: bit.ly/BKRoomsPlease be advised that events at Avant Gardner may contain flashing lights and strobe effects which may affect individuals who are susceptible to photosensitive epilepsy or other photosensitivity.
Wed Jan 23,James Vincent McMorrow (solo),Murmrr Theatre ,New York,not available
Fri Nov 29,More Life Firebrand,The DL ,New York,More Life at The DLFirebrand Entertainment EditionSponsored by Fete List and Three Kings SoundReggae Soca Dancehall Afrobeats and WorldNovember 296pm to 12amThe DL (95 Delancey Street)6PM-7PM 2 DRINKS FOR THE PRICE OF 1 HAPPY HOURJoin us at The DL Rooftop for a Firebrand Entertainment exclusive edition of More Life! 100 Percent Vibes. After-work event featuring an eclectic mix of reggae soca dancehall and afrobeats.
Fri Dec 20,FNF 12/20/19,Broad Street Ballroom ,New York,not available
Fri Dec 6,TRAP Karaoke: New York [Encore],SOB's ,New York,not available
Thu Apr 25,Delta Spirit,Bowery Ballroom ,New York,Tickets on sale Fri 11/15 at 12pm EST
Fri Dec 20,Free Comedy Show,O.P.P.A. ,New York,not available
Sun Dec 8,THE MVP MASTERCLASS BY MELISSA MATOS CON ALEXANDRA HATCU,Cachet Boutique Hotel C   ,Newark,not available
Sat Dec 7,Winter Gala 2019,Hudson House,Jersey City,"	PLEASE READ BELOW***** DUE TO HIGH DEMAND THE LAYOUT HAD TO BE MODIFIED HOWEVER YOUR TABLE NUMBER REMAINS THE SAME! ***** WHEN PURCHASING TICKETS ""MEZZANINE"" IS A BALCONY ON THE SECOND FLOOR (SAME ROOM).ENGLISH->This year you can choose your table (check venue map when buying your tickets). Seats within the table you choose will be open (first come first serve).ESPAŇOL-> Este año usted podrá escoger su mesa (verifique el mapa cuando este comprando su ticket). Las sillas en cada mesa no estarán asignadas.This year will not be an exception! With a BRAND NEW location that is sure to be NJ's hottest venue Hudson House will be opening its doors late September and will be witness to a magical night filled with amazing food great music unlimited high end drinks and most importantly New Jersey's finest and most influential Hispanic personalities.Did we mention that Hudson House has a front seat row to New York's skyline AND Lady Liberty? Well now we've said it! You do not want to miss the chance to be a part of THE event of the year!	"
Sat Dec 7,Lightning Bolt,Pioneer Works ,New York,Lightning Bolt has revolutionized underground rock in immeasurable ways over the course of its two-decade existence. The duo drummer Brian Chippendale and bassist Brian Gibson broke the barrier between stage and audience by setting themselves up on the floor in the midst of the crowd. Their momentous live performances and the mania they inspired paved the way for similar tactics used by Dan Deacon and literally hundreds of others. Similarly the band's recordings have always been chaotic roaring blown out documents that sound like they could destroy even the toughest set of speakers. Sonic Citadel Lightning Bolt's seventh album is not to be missed. USAISAMONSTER a prog rock band formed in Virginia but based in New York played all over the world and released 8 LPs between 2000 – 2009. Their lyrics dealt with Native American history current politics and abstract poetry. In 2009 the band broke up but were rebirthed as founders Tom Hohmann and Colin Langenus began working on new material in residency at Pioneer Works.Formed in 2004 Animental is a female experimental performance group that creates animal-themed noise theater.  Core members Barbara Hohmann and Sara Shapouri are returning to the stage as an eel and sea slug.Baby; Baby: Explores the Reasons Why that Gum is Still on the Sidewalk is a hand-wave parody of sound pseudo-concept garage future punk project made up of three strange birds from the to-be-ghost town/clam chowder suburbia of Warwick RI. Utilizing found and recycled gear the band makes simple structured danceable songs that pay homage to musique concrète European underground synth punk of the late 70’s anthem music dada and the Providence DIY & noise scene.
Tue Dec 10,Craig David presents TS5 @ Elsewhere (Hall),Elsewhere (Hall) ,New York,ONSALE: FRIDAY 10/4 10AM ESTElsewhere is intended to be a safe space to enjoy music art expression and free play. Elsewhere reserves the right to deny remove and/or ban any customer deemed to be disrespecting our zero-tolerance harassment policy. Please read our full policy at: https://bit.ly/2VxByad All ticket sales are final and Elsewhere does not offer refunds for any reason except event cancellation or reschedule. Opening performers door times and set times are subject to change without notice. All ticket holders must present a valid US government-issued ID or passport upon entering and Elsewhere reserves the right to refuse entry without refund to anyone who does not have a valid ID or meet the event's age requirement. Please note that Elsewhere does not accept foreign IDs of any kind other than passports. Elsewhere does not guarantee the validity or use for admittance of tickets purchased via 3rd party resellers of any kind.
Sat Nov 30,SHENSEEA LIVE IN QUEENS - THANKSGIVING SATURDAY,MARACAS NIGHTCLUB  Richmond Hill ,New York,Don't miss Shenseea's 1st Live performance in Brooklyn for 2019Featuring DJs KEVIN CROWN YOUNG CHOW DJ ZACK  & MORE.Early Bird Tickets will sell out quickly so get them now.This is a Ticket only event.-----Bottle Packages Include:2 Premium Bottles = $4003 Premium Bottles = $600($25 More per Btl for Moet Nectar Rose or  Patron)(Bottle packages & tickets are sold separately)Must Purchase Tickets in advance in order to Purchase bottle serviceText 516.900.4490 for Bottle Reservations / Tables
Sun Apr 14,TONES AND I,Bowery Ballroom ,New York,Tickets on sale Fri 10/18 at 10am ESTArtist Presale: Weds 10/16 at 1pm EST - Thurs 10/17 at 10pm ESTSpotify Presale: Weds 10/16 at 10am EST - Thurs 10/17 at 10pm EST*Tickets will be delivered at a later date prior to the event.
Fri Dec 27,Yo La Tengo,Bowery Ballroom ,New York,Tickets on sale Fri 9/06 at 12pm EST
Mon Dec 23,Yo La Tengo,Bowery Ballroom ,New York,Tickets on sale Fri 9/06 at 12pm EST
Wed Nov 27,High Bar NYC - Thanksgiving Eve! Featuring music by SPECIAL GUEST DJS!,High Bar  ,New York,Slick Parties Presents.....✨ Thanksgiving Eve 2019 @ High Bar NYC - Nov. 27th✨ 🦃Buy Tickets to Enter!! Doors open at 10pm! 21+ to enter with valid I.D.Tickets will go fast! Click the green tickets button above now before they're sold out!High Bar NYC346 West 40th StreetNew York NY 10018High Bar NYC residing in the heart of Hell's Kitchen in Midtown NYC is a rooftop bar and lounge that offers Instagram worthy 360 views of the NYC skyline. Prepared to be wowed with the amazing rooftop vibes tasty cocktails and  posh ambiance - an experience you will remember for years.💫 Looking to book bottle service? 🍾🥂 Contact us at info@slickparties.com to get a custom table service quote for your party! Please include the number of guys/girls in your party and the date & club you're interested in.   NO REFUNDS
Wed Nov 27,TAO Downtown - THANKSGIVING EVE 2019! Music by AMMO & EDAV. MIKE SOUNDS,TAO Downtown ,New York,Slick Parties Presents.....✨Thanksgiving Eve 2019 at Tao Downtown - Nov. 27th ✨🦃Buy Tickets to Enter!! Doors Open 11:00pm 21+ to enter with valid I.DTickets will go fast! Click the green tickets button above now before they're sold out!Tao Downtown92 9th AvenueNew York NY 10011Tucked away within the grandeur of Tao Downtown’s restaurant is a hidden gem and “in the know” oasis called Tao Downtown Nightclub. Located in the Meatpacking District Tao Downtown Nightclub is a 2500 sq foot drinks-only lounge that has attracked VIPS and celebrities with it's stunning Pan-Asia inspired flare. 💫 Looking to book bottle service? 🍾🥂 Contact us at info@slickparties.com to get a custom table service quote for your party! Please include the number of guys/girls in your party and the date & club you're interested in.  NO REFUNDS
Wed Nov 27,Rum and Coke Thanksgiving Eve @ SOB's,SOB’s ,New York,not available
Thu Dec 26,Yo La Tengo,Bowery Ballroom ,New York,Tickets on sale Fri 9/06 at 12pm EST
Thu Nov 28,Macy's Thanksgiving Day Parade Premium Viewing Brunch With Private Outdoor ...,Quality Italian ,New York,not available
Tue Dec 31,Gatsby's House New York New Year's Eve 2020,Hudson Terrace Salon & Patio ,New York,not available
Sun Apr 7,The Airborne Toxic Event,Bowery Ballroom ,New York,Tickets on sale Fri 10/25 at 12pm EST*Tickets will be delivered at a later date prior to the event.
Wed Nov 27,**SOLD OUT!!** LAVO - THANKSGIVING EVE 11/27!,Lavo Nightclub ,New York,Slick Parties Presents.....✨Thanksgiving Eve 2019 at Lavo - Nov. 27th✨🦃Buy Tickets to Enter!! Doors Open 11:00pm 21+ to enter with valid I.DTickets will go fast! Click the green tickets button above now before they're sold out!Lavo39 East 58th StreetNew York NY 10022💫 Looking to book bottle service? 🍾🥂 Contact us at info@slickparties.com to get a custom table service quote for your party! Please include the number of guys/girls in your party and the date & club you're interested in.  The ultimate subterranean playground LAVO Nightclub is designed with a multi-layered voyeuristic approach ideal for both after dinner entertaining and late night revelry.Tassel adorned curtains at the entrance open to reveal an expansive herringbone tiled space outfitted with custom designed metal railings wood tufted panels and rich leathers; the raised VIP area features plush banquettes. The sunken dance floor; the focal point of the room features a multitude of LED screens and the raised DJ booth which can also be used for performances is visible from any area in the club. An exclusively designed Martin Audio showcase system has been installed to provide unparalled sound resonating throughout the entire space. NO REFUNDS
Mon Feb 11,YBN Cordae @ Elsewhere (Hall),Elsewhere (Hall) ,New York,ONSALE: FRIDAY 11/15 10AM ESTVIP Package includes:GA TicketMeet & Greet with YBN CordaePhoto OpportunityEarly Entry into the VenueCommemorative LaminateExclusive Merch ItemElsewhere is intended to be a safe space to enjoy music art expression and free play. Elsewhere reserves the right to deny remove and/or ban any customer deemed to be disrespecting our zero-tolerance harassment policy. Please read our full policy at: https://bit.ly/2VxByad All ticket sales are final and Elsewhere does not offer refunds for any reason except event cancellation or reschedule. Opening performers door times and set times are subject to change without notice. All ticket holders must present a valid US government-issued ID or passport upon entering and Elsewhere reserves the right to refuse entry without refund to anyone who does not have a valid ID or meet the event's age requirement. Please note that Elsewhere does not accept foreign IDs of any kind other than passports. Elsewhere does not guarantee the validity or use for admittance of tickets purchased via 3rd party resellers of any kind.
Wed Dec 4,46th Annual Awards Program (Tickets),Sheraton Times Square ,New York,not available
Fri Dec 6,Free Comedy Show,O.P.P.A. ,New York,not available
Tue Dec 31,New Year's Eve 2020 with a GUARANTEED direct view of the Ball Drop for ALL ...,Supernova Ball Drop at Novotel  Times Square (inside party and rooftop) ,New York,not available
Sat Nov 30,Henny Fest Thanksgiving Weekend @ Hudson Terrace,Hudson Terrace ,New York,not available
Wed Apr 17,Third Annual Buffering the Vampire Slayer PROM!!!,The Bell House ,New York,"	It's the third annual Buffy Prom and this time it is a two night affair!! Kristin Russo & Jenny Owen Youngs will be at The Bell House for a live taping of Buffy Season 5 Episode 15: ""I Was Made to Love You"" on Friday night April 17th followed by the most epic prom to date on Saturday April 18th!!! Buffering the Vampire Slayer - named one of the top podcasts of 2018 by Time Esquire and BBC America - is a TV recap podcast that discusses the cult TV series Buffy the Vampire Slayer one episode at a time and creates an original song for each and every episode. There will be special guests! There will be laughs! There will be patriarchy jingles! There will be live music! THERE WILL BE DANCING!! AWOOOOoooOOOOooooooOOoo!More information including run of show door times and how to gain access to advance ticket sales on 11/6 can be found at bufferingthevampireslayer.com/prom--	"
Thu Jan 24,Goose,Bowery Ballroom ,New York,Tickets on sale Fri 11/01 at 12pm ESTCiti® Cardmember Presale: Tues 10/29 at 10am - Thurs10/31 at 10pm ESTCode: Use the first six digits of your Citi® card.
Wed Nov 27,BOUNCE - November 27th Thanksgiving Eve! Music by Big Ben & Joey Styles!,Bounce Sporting Club ,New York,Slick Parties Presents.....✨Thanksgiving Eve 2019 at Bounce - November 27th✨🦃Buy Tickets to Enter!! Doors Open 10:00pm 21+ to enter with valid I.DTickets will go fast! Click the green tickets button above now before they're sold out! Bounce55 West 21st StreetNew York NY 10010NYC's spacious upscale  sports bar featuring creative cocktails & pub fare with a twist! Located in the heart of the Flatiron District of NYC; Bounce is a unique experience of sports bar meets nightclub. Viewed as an upscale sports bar it offers colorful cocktails in an atmosphere you won't soon forget. 💫 Looking to book bottle service? 🍾🥂 Contact us at info@slickparties.com to get a custom table service quote for your party! Please include the number of guys/girls in your party and the date & club you're interested in.  NO REFUNDS
Sun Dec 15,29Rooms New York - December 152019,25 Kent ,New York,The Expand Your Reality Tour is the latest 29Rooms experience from Refinery29 - a space where you're encouraged to step into the art wear the art touch the art and connect with others (and yourself) in the process.  Created in collaboration with innovative talent visionary artists and your favorite brands 29Rooms pairs the joy and play of exploration with the pulse of current events and culture. SESSION TIMES:Open daily beginning at 10:30AM on weekends and 1:30PM on weekdays*Your 29Rooms GA ticket gives you 2.5 hours to explore our creative world a.k.a. plenty of time to fully immerse yourself and let your imagination run wild. But be sure to check the session start time on your ticket as you will only be granted entry at that specific time.IMPORTANT INFORMATION:In order to get the most out of your 29Rooms visit we recommend arriving 15 minutes before your session’s start time to ensure a quick and easy check-in. (So if your start time is 5:30 PM try getting to the venue by 5:15 PM!)29Rooms TICKET POLICY:There are no ticket refunds or exchanges. All sales are final. Event is rain or shine.Children 2 & under are admitted FREETickets are only valid for the date and session on your ticket. Sessions are valid for 2.5 hours after the designated start time.If you can’t find your PDF or Mobile ticket please visit the Tickets section of your Eventbrite account.In the event that the purchaser cannot use ticket tickets are transferable (i.e. purchaser can give their ticket to a friend for use). Entry is based on ticket barcode (not name of purchaser).Each ticket will be scanned and is only good for ONE single-person entry. There is no re-entry.Need Help?Head to www.29Rooms.com for more information including our Frequently Asked Questions.Follow us on social @29Rooms for all updates and announcements. And feel free to DM us with any comments questions or cute dog memes.Still have a question that hasn't been addressed or want to find out how you can be more involved with 29Rooms? Email us at info@29Rooms.com.
Sat Dec 21,TroyBoi - Nostalgia Tour,Great Hall - Avant Gardner ,New York,Avant Gardner & The Bowery PresentsTroyBoiwith Yultron and ArgenilNostalgia TourTroyBoi is an artist who needs no introduction a unique voice carrying the banner for versatile highly musical beats that lie at the intersection of experimental bass trap and grime. Listen to TroyBoi’s new EP “V!BEZ Vol. 3”: https://spoti.fi/2OFUgOA Limited tables available: reservations@avant-gardner.com12/21/19 @ Great Hall at Avant Gardner (Brooklyn NY)19+Doors at 9pmFollow TroyBoi:Website - www.troyboimusic.comFacebook - www.facebook.com/troyboimusic Twitter - www.twitter.com/TroyBoiMusic Instagram - www.instagram.com/troyboi_musicSpotify - https://spoti.fi/2OGTC3o YouTube - www.youtube.com/channel/UCAeU5pSbiHwJ5n0u0Ui4HtA Soundcloud - www.soundcloud.com/troyboi
Tue Jan 1,SPARKLE,Brooklyn ,New York,not available
Mon Dec 23,Yo La Tengo,Bowery Ballroom ,New York,Tickets on sale Fri 9/06 at 12pm EST
